S/N,Division,Name of Merchant / Hawker stall,Trade of services/goods,Address,Postal Code
665,Kampong Glam,SIRAJ,FOOD & BEVERAGES,"270 QUEEN STREET, ALBERT CENTRE,
#01-120",180270
666,Kampong Glam,PONDOK MAKAN INDONESIA,FOOD & BEVERAGES,"270 QUEEN STREET, ALBERT CENTRE,
#01-123",180270
667,Kampong Glam,CHEE SENG PRESERVED DRIED FOOD,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-16",180270
668,Kampong Glam,CHEE SENG PRESERVED DRIED FOOD,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-17",180270
669,Kampong Glam,CHEE SENG PRESERVED DRIED FOOD,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-18",180270
670,Kampong Glam,CHEE SENG PRESERVED DRIED FOOD,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-19",180270
671,Kampong Glam,TONG LEE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-22",180270
672,Kampong Glam,PHENG ENTERPRICE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-23",180270
673,Kampong Glam,TONG LEE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-24",180270
674,Kampong Glam,TONG LEE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-25",180270
675,Kampong Glam,GECK HUAT TRADING,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-27",180270
676,Kampong Glam,GECK HUAT TRADING,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-28",180270
677,Kampong Glam,GECK HUAT TRADING,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-32",180270
678,Kampong Glam,TONG COTTAGE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-35",180270
679,Kampong Glam,POH KEE COSMETI DEPT STORE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-36",180270
680,Kampong Glam,WIDDY TRADING ENTERPRICE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-39",180270
681,Kampong Glam,LAM LEE STORE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-40",180270
682,Kampong Glam,LAM LEE STORE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-41",180270
683,Kampong Glam,TAN SUN JOO PROVISION STORE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-45",180270
684,Kampong Glam,WAH 56-A SUPPLIER,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-48",180270
685,Kampong Glam,MORDERN TIMES DEPT STORE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-49",180270
686,Kampong Glam,TAN SUN JOO PROVISION STORE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-51",180270
687,Kampong Glam,TAN SUN JOO PROVISION STORE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-52",180270
688,Kampong Glam,TAN SUN JOO PROVISION STORE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-53",180270
689,Kampong Glam,TAN SUN JOO PROVISION STORE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-54",180270
690,Kampong Glam,GECK HUAT TRADING,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-55",180270
691,Kampong Glam,GECK HUAT TRADING,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-56",180270
692,Kampong Glam,TAN SUN JOO PROVISION STORE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-57",180270
693,Kampong Glam,TAN SUN JOO PROVISION STORE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-58",180270
694,Kampong Glam,TAN SUN JOO PROVISION STORE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-59",180270
695,Kampong Glam,HONG FENG TONIC,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-60",180270
696,Kampong Glam,FORTUNE MEDICAL TRADING,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-61",180270
697,Kampong Glam,RED DRAGON FOOD & STAFF HOUSE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-62",180270
698,Kampong Glam,RED DRAGON MARINE INDUCT CENTRE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-63",180270
699,Kampong Glam,RED DRAGON MARINE INDUCT CENTRE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-64",180270
700,Kampong Glam,RED DRAGON MARINE INDUCT CENTRE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-65",180270
701,Kampong Glam,SIONG MO TAILOR,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-67",180270
702,Kampong Glam,FORTUNE MEDICAL TRADING,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-68",180270
703,Kampong Glam,FORTUNE MEDICAL TRADING,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-69",180270
704,Kampong Glam,SUM KHIONG LIAN KEE TRADING,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-70",180270
705,Kampong Glam,BAN HENG DEPARTMENT STORE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-71",180270
706,Kampong Glam,MUAH KEE PROVISION SHOP,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-72",180270
707,Kampong Glam,DOLDEN HOUSE DRIED SEAFOOD STORE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-73",180270
708,Kampong Glam,DOLDEN HOUSE DRIED SEAFOOD STORE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-74",180270
709,Kampong Glam,MUAH KEE PROVISION SHOP,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-78",180270
710,Kampong Glam,MUAH KEE PROVISION SHOP,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-79",180270
711,Kampong Glam,MUAH KEE PROVISION SHOP,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-81",180270
712,Kampong Glam,KHAI KEE PROVISION SHOP,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-94",180270
713,Kampong Glam,GREAT FORTUNE DEPT STORE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-97",180270
714,Kampong Glam,C.K.PLASTIC CO.,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-104",180270
715,Kampong Glam,C.K.PLASTIC CO.,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-105",180270
716,Kampong Glam,FLOWER LANGUE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-106",180270
717,Kampong Glam,TECK LEE STORE,GROCERY/PROVISION SHOP/MINIMART,"270 QUEEN STREET, ALBERT CENTRE,
#03-108",180270
718,Kampong Glam,BAO KEE GINSENG & BIRDNEST,GROCERY/PROVISION SHOP/MINIMART,"BLK 270 QUEEN STREET ALBERT CENTRE
#03-85/86",180270
719,Kampong Glam,RED DRAGON MARINE PRODUCT CENTRE,OTHERS,BLK 270 QUEEN STREET #03-63/64,180270
720,Kampong Glam,GECK HUAT TRADING PTE. LTD.,GROCERY/PROVISION SHOP/MINIMART,BLK 270 QUEEN STREET #03-55,180270
721,Kampong Glam,TAN SUM JOO PROVISION SHOP,GROCERY/PROVISION SHOP/MINIMART,BLK 270 QUEEN STREET #03-50,180270
722,Kampong Glam,DO DO ECONOMICAL RICE,FOOD & BEVERAGES,BLK 270 QUEEN STREET #01-65,180270
723,Kampong Glam,SIN SWEE KEE CHICKEN RICE RESTAURANT,FOOD & BEVERAGES,BLK 35 SEAH STREET,188391
724,Kampong Glam,HOMES MINIMART,GROCERY/PROVISION SHOP/MINIMART,"BLK 2, BEACH ROAD,
#01-4785",190002
725,Kampong Glam,SINGAI TRADING & CARGO PTE LTD,GROCERY/PROVISION SHOP/MINIMART,BLK 6 #1-4887 BEACH ROAD,190006
726,Kampong Glam,SHARESHA'S SPECIAL,FOOD & BEVERAGES,10 NORTH BRIDGE ROAD #01-5101,190010
727,Kampong Glam,BUDDY'S PORRIDGE,FOOD & BEVERAGES,10 NORTH BRIDGE ROAD #01-5101,190010
728,Kampong Glam,BAK KUT THE,FOOD & BEVERAGES,10 NORTH BRIDGE ROAD #01-5101,190010
729,Kampong Glam,ECONOMIC BEE HOON,FOOD & BEVERAGES,10 NORTH BRIDGE ROAD #01-5101,190010
730,Kampong Glam,金城椰浆饭,FOOD & BEVERAGES,10 NORTH BRIDGE ROAD #01-5101,190010
731,Kampong Glam,PACIFIC MIXED VEG RICE PORRIDGE,FOOD & BEVERAGES,10 NORTH BRIDGE ROAD #01-5101,190010
732,Kampong Glam,CAIR SALON,HAIR SALON/BARBER SHOP,BLK 10 NORTH BRIDGE ROAD #01-5115,190010
733,Kampong Glam,HIAP SENG LOONG,FOOD & BEVERAGES,10 NORTH BRIDGE ROAD #01-5109,190010
734,Kampong Glam,CHOON HING MINIMART,GROCERY/PROVISION SHOP/MINIMART,BLK 15 BEACH ROAD #01-4681,190015
735,Kampong Glam,WISENG FOOD PLACE,FOOD & BEVERAGES,BLK 462 CRAWFORD LANE #01-29,190462
736,Kampong Glam,TAI HWA EATING HOUSE,FOOD & BEVERAGES,BLK 465 CRAWFORD LANE #01-12,190465
737,Kampong Glam,AK STAR MINIMART,GROCERY/PROVISION SHOP/MINIMART,BLK 465 NORTH BRIDGE ROAD #01-5069,191465
738,Kampong Glam,KONG PENG CHANG PROVISION SHOP,GROCERY/PROVISION SHOP/MINIMART,BLK 465 NORTH BRIDGE ROAD #01-5085,191465
739,Kampong Glam,LIANG TYE MEDICAL CO PTE LTD,CLINIC/PHARMACY/HEALTHCARE,BLK 465 NORTH BRIDGE ROAD CRAWFORD COURT #01-5053,191465
740,Kampong Glam,观音痊,FOOD & BEVERAGES,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-85",198783
741,Kampong Glam,88,FOOD & BEVERAGES,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-88",198783
742,Kampong Glam,HUP HENG VEG. RICE,FOOD & BEVERAGES,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-90",198783
743,Kampong Glam,CHICAGO NASI LEMAK,FOOD & BEVERAGES,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-92",198783
744,Kampong Glam,HOE FRIED HOKKIEN MEE,FOOD & BEVERAGES,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-93",198783
745,Kampong Glam,FONG GUAN VEGETARIAN FOOD,FOOD & BEVERAGES,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-96",198783
746,Kampong Glam,"100 MIXED VEG, RICE & PORRIDGE",FOOD & BEVERAGES,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-100",198783
747,Kampong Glam,THOMSON BIG PRAWN NOODLE,FOOD & BEVERAGES,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-101",198783
748,Kampong Glam,YU FU COFFEE SHOP,FOOD & BEVERAGES,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-102",198783
749,Kampong Glam,LAO HUANG HAKKA NIANG TOU FU,FOOD & BEVERAGES,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-108",198783
750,Kampong Glam,AN LOCK CURRY RICE,FOOD & BEVERAGES,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-109",198783
751,Kampong Glam,TIAN YI,FOOD & BEVERAGES,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-112",198783
752,Kampong Glam,"CARROT CAKE, CHEONG FUNE, OTAH KUEH",FOOD & BEVERAGES,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-113",198783
753,Kampong Glam,TEH TARIK COM,FOOD & BEVERAGES,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-117",198783
754,Kampong Glam,豆芽，粿条面,WET MARKET,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-10",198783
755,Kampong Glam,POON YEO HUAT FISH PRODUCT,WET MARKET,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-36",198783
756,Kampong Glam,MAKE TO ORDER 37,WET MARKET,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-37",198783
757,Kampong Glam,41 鲜鱼圆,WET MARKET,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-41",198783
758,Kampong Glam,海鲜酿豆腐,WET MARKET,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-45",198783
759,Kampong Glam,桥北路鲜鱼圆,WET MARKET,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-46",198783
760,Kampong Glam,LAI HUAT,WET MARKET,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-51",198783
761,Kampong Glam,BEEF SHOP,WET MARKET,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-58",198783
762,Kampong Glam,MUTTON SHOP,WET MARKET,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-59",198783
763,Kampong Glam,MUHAMMAD FRESH CHICHEN STALL,WET MARKET,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-62",198783
764,Kampong Glam,宅玲萝卜痆,FOOD & BEVERAGES,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-103",198783
765,Kampong Glam,KE SHUANG XING LOR MEE,FOOD & BEVERAGES,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-104",198783
766,Kampong Glam,SOON HUAT,FOOD & BEVERAGES,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-105",198783
767,Kampong Glam,HUP RONG COFFEE SHOP,FOOD & BEVERAGES,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-106",198783
768,Kampong Glam,坤记炒疼疾,FOOD & BEVERAGES,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-107",198783
769,Kampong Glam,ROYAL BEAN,FOOD & BEVERAGES,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-120",198783
770,Kampong Glam,观音痊,FOOD & BEVERAGES,"861 NORTH BRIDGE ROAD, NORTH BRIDGE ROAD MARKET & FOOD CENTRE, #01-97",198783
771,Kampong Glam,GOLDEN MILE SPECIAL YONG TAO FOO,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 44",199583
772,Kampong Glam,CHAO ANN GRANNY GRASS JELLY,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 58",199583
773,Kampong Glam,CHUNG CHENG CHILLI MEE,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 59",199583
774,Kampong Glam,CAFÉ PORT,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 60",199583
775,Kampong Glam,YAN YI ZI CHAR,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 61",199583
776,Kampong Glam,COFFEE FUSION,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 62",199583
777,Kampong Glam,KENG HENG (WHAMPOA) TEOW CHEW LOR MEE,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 63",199583
778,Kampong Glam,PEACE CAFÉ,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 64",199583
779,Kampong Glam,WEN WEI SEA FOOD BBQ,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 67",199583
780,Kampong Glam,XI JI HAINANESE CHICKEN RICE & CURRY CHICKEN NOODLE,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 68",199583
781,Kampong Glam,SENG 01- 69 HOT & COLD BEVERAGES,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 69",199583
782,Kampong Glam,FEI ZHU,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 71",199583
783,Kampong Glam,HOT & COLD DESSERT,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 76",199583
784,Kampong Glam,HOT & COLD DESSERT,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 77",199583
785,Kampong Glam,TEE KITCHEN,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 78",199583
786,Kampong Glam,DOZO HOUSE,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 79",199583
787,Kampong Glam,QUAN XING COFFEE STALL,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 81",199583
788,Kampong Glam,THANG SUM HOT & COLD DESSERTS,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 83",199583
789,Kampong Glam,MEE HOON KUEH,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 86",199583
790,Kampong Glam,88 WESTERN CUISINE,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 88",199583
791,Kampong Glam,KHANG FATT HAINANESE BEEF NOODLES,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 89",199583
792,Kampong Glam,THAI MAMA KITCHEN,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 90",199583
793,Kampong Glam,KIAN HOCK RESTAURANT,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 92",199583
794,Kampong Glam,PAULINE THAI- FOOD,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 94",199583
795,Kampong Glam,NAN HE WANTON NOODLE.,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 95",199583
796,Kampong Glam,W.S. CHICKEN RICE,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 96",199583
797,Kampong Glam,亚孳,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 98",199583
798,Kampong Glam,98 COFFEE CAFÉ,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 99",199583
799,Kampong Glam,SL II MUFFIN,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 101",199583
800,Kampong Glam,VIVA BITESS,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 102",199583
801,Kampong Glam,ANN KEENOODLE HOUSE,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 104",199583
802,Kampong Glam,CONNIE'S HOT & COLD DRINKS,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 105",199583
803,Kampong Glam,"AI HUT FISH SOUP, SEA SOUP",FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 107",199583
804,Kampong Glam,DRU BAN MIAN,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 109",199583
805,Kampong Glam,FUDO JAPANESE STYLE PASTA,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01- 111",199583
806,Kampong Glam,NASI AMBENG NENEK LENG,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 01",199583
807,Kampong Glam,51 SOYA BEAN,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 04",199583
808,Kampong Glam,RONG HUA HOT & COLD DRINKS,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 05",199583
809,Kampong Glam,RONG HUA HOT & COLD DRINKS,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 08",199583
810,Kampong Glam,M. B. DEEN RASA,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 09",199583
811,Kampong Glam,BEARDMAN'S NASI PANDAN,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 11",199583
812,Kampong Glam,AN-NUR CHINESE HALAL FOOD,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 20",199583
813,Kampong Glam,BUGIS LONG HOUSE LIM KEE NOODLES,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 21",199583
814,Kampong Glam,FAMOUS DRINKS,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 22",199583
815,Kampong Glam,BUGGORAL,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 23",199583
816,Kampong Glam,AL BISMI CAFÉ,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 25",199583
817,Kampong Glam,D'LINK STALL,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 26",199583
818,Kampong Glam,PARIBAR RESTAURANT,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 28",199583
819,Kampong Glam,CHARLIE'S,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 30",199583
820,Kampong Glam,JUICE ART,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 33",199583
821,Kampong Glam,KEE'S CRISPY GORENG PISANG,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 36",199583
822,Kampong Glam,888 WANTON MEE,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 38",199583
823,Kampong Glam,THAILAND CHICKEN RICE,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 39",199583
824,Kampong Glam,138 HOT & COLD DRINKS,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 42",199583
825,Kampong Glam,AH XIAO TEOCHEW BRAISED DUCK,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 43",199583
826,Kampong Glam,CHEF CHOO SIGNATURE,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 45",199583
827,Kampong Glam,AVOCADO JUNIOR,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 46",199583
828,Kampong Glam,GOLDEN MILE TEOCHEW FISHBALL NOODLE,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 47",199583
829,Kampong Glam,EVERGREEN,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 48",199583
830,Kampong Glam,KOPI MORE,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 49",199583
831,Kampong Glam,孰乡炒果条,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 50",199583
832,Kampong Glam,MR BAGNETTE,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 51",199583
833,Kampong Glam,CHANG FA HONG KONG STEWED SOUP,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 52",199583
834,Kampong Glam,LIANG SEAH STREET PRAWN NOODLES,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 54",199583
835,Kampong Glam,YONG KWANG YAMMY SEAFOOD,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 55",199583
836,Kampong Glam,XING FU BAN MIAN,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, B1- 56",199583
837,Kampong Glam,GOLDEN MILE CURRY RICE,FOOD & BEVERAGES,"505 BEACH ROAD, GOLDEN MILE FOOD CENTRE, #01-110",199583
838,Kampong Glam,KAVEEN PTE LTD,GROCERY/PROVISION SHOP/MINIMART,BLK 25 #01-126 JALAN BERSEH,200025
839,Kampong Glam,GOURMET STREET,FOOD & BEVERAGES,BLK 27 JALAN BERSEH #01-100,200027
840,Kampong Glam,壹食代 莆甡兴化,FOOD & BEVERAGES,BLK 28 #01-121 KELANTAN RD,200028
